year,state_abbr,state_name,population,violent_crime,homicide,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,rape,violent_crime_rate,homicide_rate,rape_rate,robbery_rate,aggravated_assault_rate,property_crime_rate,burglary_rate,larceny_rate,motor_vehicle_theft_rate
1980,SD,South Dakota,688217,873,5,138,644,21447,4766,15521,1160,86.0,126.84952565833159,0.7265150381347744,12.49605865591812,20.05181505251977,93.57513691175893,3116.313604575301,692.5141343500669,2255.2479813779664,168.55148884726765
1980,TN,Tennessee,4545590,20824,489,8208,10427,183632,68251,98876,16505,1700.0,458.11434819242385,10.757679421153249,37.3988855132117,180.57061899555393,229.38716426250497,4039.78361444829,1501.4772559777718,2175.207178826071,363.0991796444466
1980,TX,Texas,14169829,77978,2392,29547,39339,792480,262600,450792,79088,6700.0,550.3100990138978,16.880937659868724,47.283562843277785,208.52051213885503,277.62508637189626,5592.728042095639,1853.2333735290667,3181.3510240666983,558.1436444998736
1980,UT,Utah,1458729,4425,55,1170,2796,81357,19283,57354,4720,404.0,303.34626925220516,3.770405606524584,27.695343000653306,80.20681017515933,191.67371046986793,5577.252526000374,1321.9042056475191,3931.7789664838365,323.5693538690188
1980,VA,Virginia,5323412,16355,459,6392,8046,229587,64020,153437,12130,1458.0,307.2277704599982,8.622289614254917,27.388449362927386,120.0733664799944,151.1436650028215,4312.779097315782,1202.6121592692807,2882.3055589159735,227.86137913052758
1980,VT,Vermont,511299,914,11,199,555,24592,7806,15278,1508,149.0,178.76037308893623,2.1513830459281165,29.14146125848085,38.92047510360865,108.5470536809186,4809.710169587658,1526.6996415013525,2988.0754705172512,294.9350575690545
1980,WA,Washington,4113331,19098,225,5558,11146,265338,76598,172468,16272,2169.0,464.2952390653706,5.470019310383726,52.73098615209911,135.12163256494554,270.97260103794224,6450.68437234932,1862.1890628301003,4192.903512992268,395.591796526951
1980,WI,Wisconsin,4680917,8546,136,3310,4403,216073,50524,154070,11479,697.0,182.57106460123092,2.9054136187417976,14.890244796051714,70.7126402796717,94.0627659067657,4616.039976782326,1079.3611593625778,3291.4490899966822,245.2297274230669
1980,WV,West Virginia,1930787,3547,138,936,2167,45719,14258,27606,3855,306.0,183.7074726523433,7.147344580215218,15.848459721346789,48.477641500590174,112.23402685019113,2367.8945424844896,738.4553552515115,1429.779670155227,199.6595170777512
1980,WY,Wyoming,468954,1841,29,208,1470,21543,4238,15686,1619,134.0,392.5758176708163,6.183975400572338,28.574231161265285,44.35403045927745,313.46358064970127,4593.84076050103,903.7133706077782,3344.890970116472,345.2364197767798
1981,AK,Alaska,412000,2537,60,472,1584,24634,5479,16310,2845,421.0,615.7766990291262,14.563106796116505,102.18446601941747,114.5631067961165,384.4660194174757,5979.1262135922325,1329.8543689320388,3958.73786407767,690.5339805825242
1981,AL,Alabama,3916000,18423,465,4952,11985,173411,56811,105471,11129,1021.0,470.45454545454544,11.874361593462716,26.072522982635345,126.45556690500511,306.05209397344225,4428.268641470889,1450.7405515832481,2693.335035750766,284.19305413687437
1981,AR,Arkansas,2294000,7119,209,1776,4557,79972,24732,50959,4281,577.0,310.3312990409765,9.110723626852659,25.15257192676548,77.41935483870968,198.64864864864865,3486.1377506538797,1078.1168265039232,2221.4036617262423,186.61726242371404
1981,AZ,Arizona,2793000,16082,227,4961,9830,196575,57655,127469,11451,1064.0,575.796634443251,8.127461510920158,38.095238095238095,177.62262799856785,351.9513068385249,7038.13104189044,2064.2678123881133,4563.873970640888,409.98925886143934
1981,CA,California,24159000,208485,3143,93781,97995,1625302,540806,921939,162557,13566.0,862.9703216192722,13.009644438925452,56.15298646467155,388.1824578831905,405.6252328324848,6727.521834513019,2238.5280847717204,3816.1306345461317,672.8631151951654
1981,CO,Colorado,2963000,15755,239,4726,9438,202119,60197,129658,12264,1352.0,531.7246034424569,8.066149173135335,45.6294296321296,159.50050624367194,318.5285183935201,6821.4309821127235,2031.6233547080662,4375.902801214985,413.9048261896726
1981,CT,Connecticut,3132000,14033,168,7709,5469,168790,52990,96927,18873,687.0,448.0523627075351,5.363984674329502,21.93486590038314,246.13665389527458,174.6168582375479,5389.208173690932,1691.8901660280972,3094.7318007662834,602.5862068965517
1981,DC,District of Columbia,636000,14468,223,10399,3432,53442,16832,32845,3765,414.0,2274.8427672955972,35.062893081761004,65.09433962264151,1635.0628930817609,539.622641509434,8402.830188679245,2646.5408805031448,5164.308176100629,591.9811320754717
1981,DE,Delaware,598000,3044,40,844,1990,36958,9627,24759,2572,170.0,509.0301003344482,6.688963210702341,28.428093645484953,141.1371237458194,332.7759197324415,6180.267558528428,1609.8662207357859,4140.301003344482,430.1003344481605
1981,FL,Florida,10166000,98109,1522,35473,55407,718470,241536,431222,45712,5707.0,965.0698406452883,14.971473539248477,56.1381074168798,348.93763525477084,545.0226244343892,7067.381467637222,2375.9197324414718,4241.80602006689,449.65571512886095
1981,GA,Georgia,5569000,30527,960,10938,16267,282926,93121,171170,18635,2362.0,548.1594541210271,17.238283354282636,42.41335966959957,196.4086909678578,292.09912012928714,5080.373496139343,1672.1314419105765,3073.6218351589155,334.6202190698509
1981,HI,Hawaii,979000,2424,47,1453,584,61636,16726,40699,4211,340.0,247.59959141981616,4.800817160367722,34.72931562819203,148.4167517875383,59.65270684371807,6295.812053115424,1708.4780388151175,4157.201225740552,430.13278855975483
1981,IA,Iowa,2897000,5915,76,1554,3896,130723,30925,93333,6465,389.0,204.17673455298586,2.623403520883673,13.427683810838799,53.6416983085951,134.48394891266827,4512.357611322057,1067.4836037279945,3221.7121159820504,223.1618916120124
1981,ID,Idaho,959000,2717,43,362,2114,40733,11255,27423,2055,198.0,283.31595411887383,4.483837330552658,20.64650677789364,37.747653806047964,220.43795620437953,4247.445255474452,1173.6183524504693,2859.541188738269,214.2857142857143
1981,IL,Illinois,11455000,90781,1205,42752,43108,609767,173142,366696,69929,3716.0,792.5010912265386,10.519423832387604,32.43998254037538,373.21693583587955,376.3247490178961,5323.151462243562,1511.4971628109995,3201.187254474029,610.4670449585334
